Date,Video,Feet Extended,Feet Impact,Breast Impact,Tail Flip,Base of Bill Start,Base of Bill End,Tip of Bill Start,Tip of Bill End,Breast Start,Breast End,Shoulder Start,Shoulder End,Tip of Wing Start,Tip of Wing End,Base of Tail Start,Base of Tail End,Tip of tail Start,Tip of tail End,Ankle Start,Ankle End,Heel Start,Heel End,Toe Start,Toe End
20181025,A01,71,105,110,206,38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20181025,B01a,33,53,60,N/A,34,156,34,156,34,63,34,66,34,72,34,55,34,56,34,52,34,51,34,51
20181025,B01b,N/A,46,57,N/A,32,98,32,98,32,51,32,50,32,56,32,47,32,43,N/A,N/A,N/A,N/A,N/A,N/A
20181025,B01c,N/A,47,64,N/A,22,162,22,162,22,63,22,60,22,58,22,51,22,47,22,47,22,46,22,46
20181025,B01d,36,79,91,210,32,95,32,N/A,N/A,N/A,32,N/A,N/A,N/A,32,N/A,32,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20181025,B02,36,53,66,N/A,27,64,27,64,27,66,26,67,27,70,27,63,27,64,27,57,27,52,27,52
20181025,B03,N/A,29,N/A,N/A,19,39,19,39,19,38,22,40,19,41,19,32,19,31,19,31,19,29,19,29
20181025,B04,N/A,66,88,142,51,81,51,81,51,82,51,89,51,89,51,70,51,70,51,68,51,66,51,65
20181025,C01a,162,184,194,N/A,11,214,31,214,11,183,11,196,11,N/A,11,189,11,189,N/A,N/A,N/A,N/A,N/A,N/A
20181025,C01b,201,228,240,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20181025,C01c,N/A,267,279,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20181101,A01,33,38,58,104,2,104,2,104,2,49,2,53,5,51,2,38,2,45,2,41,2,38,2,39
20181101,A02a,21,30,55,N/A,10,55,10,53,10,54,10,51,12,55,10,33,10,31,10,31,10,29,10,28
20181101,A02b,281,313,323,N/A,250,278,250,276,250,320,252,325,251,327,250,318,250,319,250,315,250,312,250,310
20181108,A01,137,153,165,271,2,300,2,285,2,163,2,290,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20181108,A02a,N/A,28,34,N/A,15,37,15,37,15,30,15,37,15,37,15,32,15,31,15,27,15,27,N/A,N/A
20181108,A02b,N/A,27,N/A,N/A,2,31,2,31,2,34,2,34,N/A,N/A,2,40,2,24,4,24,2,24,N/A,N/A
20181108,A02c,N/A,63,69,N/A,17,64,17,64,N/A,N/A,17,64,N/A,N/A,17,64,17,64,N/A,N/A,N/A,N/A,N/A,N/A
20181108,A02d,204,238,274,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20181108,A02e,N/A,28,43,N/A,12,93,12,93,12,40,12,64,N/A,N/A,12,31,12,27,12,27,12,27,N/A,N/A
20181108,A02f,76,118,131,258,7,258,7,258,7,128,7,131,N/A,N/A,7,92,7,92,76,122,89,118,N/A,N/A
20181108,A02g,182,222,230,N/A,145,239,145,239,N/A,N/A,145,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20181108,A02h,N/A,44,62,164,28,164,28,164,28,57,28,62,N/A,N/A,28,46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20181108,A03a,N/A,9,41,N/A,4,47,4,47,N/A,N/A,4,47,N/A,N/A,4,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20181108,A03c,16,49,62,74,40,74,40,74,N/A,N/A,40,67,N/A,N/A,40,56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20181108,A03d,173,202,211,N/A,173,211,173,211,N/A,N/A,173,211,N/A,N/A,173,206,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20181108,A03e,11,26,37,N/A,11,73,11,73,N/A,N/A,11,41,N/A,N/A,11,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20181108,A03f,138,157,180,N/A,138,207,138,207,N/A,N/A,138,182,N/A,N/A,138,163,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20181108,A03g,N/A,19,29,N/A,2,33,2,33,N/A,N/A,2,32,N/A,N/A,2,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20181108,A03h,143,163,178,N/A,143,183,143,183,N/A,N/A,143,181,N/A,N/A,143,164,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20181108,A03i,112,132,144,N/A,91,173,91,173,N/A,N/A,91,148,N/A,N/A,91,135,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20181108,A03j,144,157,165,272,132,194,132,194,N/A,N/A,132,166,N/A,N/A,132,159,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20181108,A04a,300,312,325,419,269,419,269,419,N/A,N/A,269,327,N/A,N/A,269,313,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20181108,A04b,327,355,383,468,315,407,315,407,N/A,N/A,315,385,N/A,N/A,315,357,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20181108,A04c,31,54,82,N/A,11,123,11,123,N/A,N/A,11,84,N/A,N/A,11,56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20181108,A06,67,102,113,177,54,134,54,134,N/A,N/A,54,116,N/A,N/A,54,104,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20190214,A02,51,77,85,182,51,142,51,142,N/A,N/A,51,87,N/A,N/A,51,82,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20190214,A03,35,50,56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20190214,A04a,60,83,92,N/A,40,97,40,97,N/A,N/A,40,96,N/A,N/A,40,86,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20190214,A05a,139,175,181,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20190214,A05b,38,81,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20190214,A07a,173,238,255,N/A,207,259,207,259,N/A,N/A,207,255,N/A,N/A,207,239,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20190214,A07b-01,51,70,76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20190214,A08,31,69,80,193,25,86,25,86,N/A,N/A,25,81,N/A,N/A,25,71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20190214,A09,174,191,196,N/A,184,208,184,208,N/A,N/A,184,199,N/A,N/A,184,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20190214,A10,116,147,154,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20190214,A14,1386,1397,1406,1539,1370,1411,1370,1411,N/A,N/A,1370,1404,N/A,N/A,1370,1401,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
